OrderID,Category,ShippingCost,WarehouseID,OrderDate
1040,Clothing,52.23860805977662,W02,2025-08-15
1041,Electronics,,W02,2025-06-26
1042,Clothing,32.05984696585942,W06,2025-04-09
1043,Clothing,8.504259998680617,W03,2025-02-05
1044,Electronics,62.9086117280902,W01,2025-04-06
1045,Electronics,52.75450720674184,W02,2025-06-01
1046,Clothing,9.890481368748988,W06,2025-05-31
1047,Furniture,31.471414102478086,W05,2025-07-09
1048,Electronics,91.2852591668321,W06,2025-08-12
1049,Furniture,27.75837961336238,W02,2025-02-06
1050,Furniture,18.765012848666196,W02,2025-09-25
1051,Furniture,,W06,2025-07-02
1052,Electronics,98.63679314050707,W01,2025-01-13
1053,Furniture,27.99525079359254,W04,2025-10-06
1054,Electronics,68.85287700355846,W02,2025-08-05
1055,Furniture,77.35386345622817,W06,2025-12-21
1056,Clothing,27.57556667927797,W06,2025-12-27
1057,Clothing,74.18055311812665,W03,2025-10-13
1058,Electronics,39.93939760832906,W04,2025-09-30
1059,Clothing,65.06905390639005,W05,2025-03-03
1060,Clothing,65.18532252228499,W01,2025-03-25
1061,Furniture,,W05,2025-08-05
1062,Electronics,13.577528155168789,W04,2025-12-08
1063,Furniture,84.35373708097761,W04,2025-07-06
1064,Furniture,35.474106172314904,W04,2025-01-19
1065,Furniture,22.719258487986153,W05,2025-06-26
1066,Furniture,8.873638447702572,W04,2025-04-10
1067,Furniture,61.134829602882974,W06,2025-08-21
1068,Furniture,69.36861437501683,W05,2025-03-17
1069,Furniture,6.575843748146335,W04,2025-09-22
1070,Electronics,53.64884053843169,W06,2025-10-11
1071,Clothing,,W03,2025-07-25
1072,Furniture,66.29141508889774,W04,2025-08-11
1073,Furniture,21.564810755474188,W05,2025-02-21
1074,Furniture,70.63908511973426,W02,2025-12-05
1075,Furniture,41.73985789855105,W04,2025-05-24
1076,Furniture,93.98934892998977,W02,2025-03-10
1077,Furniture,18.06448969386936,W06,2025-04-09
1078,Clothing,37.40130334977456,W03,2025-01-25
1079,Clothing,15.779984517855961,W01,2025-02-22
1080,Furniture,92.84589373646347,W03,2025-05-31
1081,Clothing,,W04,2025-05-24
1082,Electronics,29.504454632939783,W02,2025-02-26
1083,Furniture,67.698484373247,W02,2025-02-08
1084,Electronics,82.63610901911551,W05,2025-04-19
1085,Electronics,57.744077101948925,W02,2025-06-30
1086,Furniture,55.316804943820614,W05,2025-02-11
1087,Clothing,27.97596763554291,W06,2025-07-05
1088,Electronics,13.844762941560425,W01,2025-08-11
1089,Furniture,90.23549700556605,W04,2025-05-02
1090,Electronics,90.5397154305164,W05,2025-05-13
1091,Electronics,,W01,2025-06-12
1092,Electronics,37.20783014962657,W02,2025-08-03
1093,Electronics,38.17490958820279,W02,2025-08-09
1094,Clothing,73.96578949267274,W01,2025-08-23
1095,Electronics,90.22547469549482,W02,2025-11-27
1096,Electronics,89.27321030518614,W06,2025-05-26
1097,Electronics,79.08817685647426,W06,2025-08-27
1098,Clothing,65.99300638465733,W01,2025-03-17
1099,Electronics,12.993296674529638,W05,2025-01-09
1100,Electronics,20.35472783898831,W05,2025-03-15
1101,Clothing,,W01,2025-09-10
1102,Clothing,62.61076066766104,W05,2025-08-18
1103,Clothing,5.873719903579817,W05,2025-01-07
1104,Electronics,14.63979657227305,W06,2025-06-23
1105,Clothing,68.0326680652653,W05,2025-05-21
1106,Clothing,5.480850465390775,W03,2025-06-17
1107,Electronics,20.27676488466237,W04,2025-06-19
1108,Clothing,57.129709989825685,W02,2025-10-10
1109,Electronics,70.73004378080586,W03,2025-05-02
1110,Furniture,66.93631965274704,W05,2025-07-13
1111,Clothing,,W06,2025-01-05
1112,Furniture,72.6570260280159,W01,2025-01-29
1113,Electronics,27.538663312196007,W05,2025-06-14
1114,Clothing,35.912971325130435,W06,2025-12-05
1115,Electronics,75.91668348621229,W04,2025-05-16
1116,Furniture,66.7151254094854,W05,2025-12-31
1117,Electronics,85.6762239969469,W01,2025-11-17
1118,Clothing,67.47322476853262,W06,2025-12-08
1119,Clothing,58.9893173168698,W06,2025-05-25
1120,Furniture,13.899102943668785,W06,2025-11-23
1121,Electronics,,W04,2025-08-05
1122,Clothing,30.19422492976392,W05,2025-10-28
1123,Furniture,28.17901612101294,W04,2025-05-12
1124,Clothing,97.43600270148232,W02,2025-10-19
1125,Clothing,42.34428384334224,W02,2025-03-11
1126,Electronics,89.74442274182576,W05,2025-09-09
1127,Clothing,64.95816946973997,W04,2025-10-02
1128,Electronics,80.5070738364566,W01,2025-12-30
1129,Clothing,52.75052384499325,W06,2025-07-01
1130,Furniture,59.80586903950412,W06,2025-06-16
1131,Clothing,,W05,2025-04-01
1132,Electronics,23.54808384081423,W02,2025-07-21
1133,Electronics,73.632950949843,W02,2025-12-12
1134,Furniture,31.6733744318813,W06,2025-01-19
1135,Clothing,7.310016810988115,W05,2025-02-08
1136,Clothing,66.31986811118094,W04,2025-05-06
1137,Furniture,21.825514543669648,W02,2025-06-22
1138,Clothing,94.34356551352685,W04,2025-05-21
1139,Clothing,95.6232148152458,W02,2025-08-30
1140,Electronics,91.91211707094261,W02,2025-08-08
1141,Clothing,,W03,2025-05-06
1142,Clothing,6.468378570242406,W02,2025-02-27
1143,Furniture,93.1902634458339,W01,2025-05-28
1144,Furniture,45.67749409014486,W05,2025-11-13
1145,Electronics,96.83220780914861,W05,2025-12-27
1146,Clothing,96.54389782347901,W04,2025-01-01
1147,Clothing,86.03589826939921,W02,2025-12-14
1148,Clothing,32.97264474661064,W01,2025-07-09
1149,Electronics,41.5842842171829,W04,2025-07-10
1150,Electronics,85.8579837941014,W03,2025-11-08
