Product,Revenue,Profit,Region
Phones,2754.461676758362,123.07785922579211,West
Phones,3901.030641660546,407.1230448635407,North
Laptops,2946.675765698811,442.17605690727135,West
Tablets,4493.692952326643,458.94050280721046,East
Laptops,4602.807456045034,622.1551323045991,West
Laptops,2686.883707493822,580.2422920541906,North
Phones,2107.311188940206,647.1145835141001,West
Laptops,3369.4013143734487,788.3949353879154,South
Phones,4649.453382466763,831.6871648444841,West
Tablets,1842.6487560226665,746.310768603845,South
Phones,3491.866334253931,959.9713263594413,East
Laptops,3526.2408803700823,116.40932440872547,South
Laptops,3932.452089661124,276.2001871151915,West
Phones,1526.2707405090391,106.8065874803279,North
Phones,3863.299858728354,682.7272427391428,South
Laptops,4636.130082662564,908.2274940549883,East
Tablets,1718.732435480968,319.1340669186693,South
Tablets,1950.1732996955107,934.331090316676,South
Phones,4885.580376166558,154.24065126060475,South
Tablets,1723.907810837959,940.9924241249629,East
Laptops,4417.540373478317,416.460418515671,West
Phones,2969.111425792139,191.27874560429487,South
Laptops,1988.9242976127082,537.284583267693,South
Laptops,4482.999605090045,331.09891094845716,North
Tablets,2781.221020010662,356.3856117657306,East
Phones,3059.2694157187607,376.56096843365793,South
Phones,2436.933477599063,822.7233080493971,East
Tablets,3371.80340573971,585.245149007729,South
Laptops,1654.0954903400911,380.1769292404033,West
Laptops,2564.3261466070426,649.3004049798266,West
Laptops,4877.6492893411505,744.5356068008742,South
Laptops,2032.5337308045102,345.3616006601804,West
Phones,3626.9466581651686,472.19419137281636,South
Phones,2300.7602568987795,209.69748400325278,West
Tablets,4093.8925027464024,263.0344145812123,North
Tablets,1523.4946428733992,713.0060685684846,North
Phones,4879.284180314178,263.2945129260643,North
Phones,2815.158165534557,572.6470453003542,East
Laptops,1944.2018533858559,738.1416355501894,East
Laptops,1293.9869893200507,196.18923078526944,North
Tablets,1679.031620350163,610.5809976660132,East
Phones,3079.0957942240707,330.9065053312274,West
Tablets,2348.012705725145,966.6341877138218,South
Phones,4315.533463530438,535.1910820479322,South
Laptops,2723.550094647224,825.3932947976423,South
Tablets,1994.8570903505197,595.2038879406356,North
Tablets,3468.57994641612,139.07127956933726,East
Phones,3827.108867541783,669.8362380346201,West
Laptops,1668.1676316037995,956.2630079859913,West
Tablets,1670.4768651532706,641.450638131698,North
Laptops,1146.685707734172,837.2699734841112,West
Tablets,3945.608060262562,895.785817013567,West
Laptops,3655.21811048722,305.2717947540392,West
Phones,2898.5235029992555,290.84035591740394,West
Tablets,4376.681795876788,649.8828899658926,East
Tablets,4222.680611800213,469.9256228260342,West
Laptops,3341.417457587009,855.8751725800483,South
Laptops,4473.085122053035,910.02081105821,North
Tablets,1823.364840147073,418.0792413724463,East
